Economy,Ease of Doing Business Rank,Starting a Business,Dealing with Construction Permits,Protecting Minority Investors
New Zealand,1,1,1,1
Singapore,2,6,10,1
Denmark,3,24,6,19
"Hong Kong SAR, China",4,3,5,3
"Korea, Rep",5,11,31,13
Norway,6,21,43,9
United Kingdom,7,16,17,6
United States,8,51,39,41
Sweden,9,15,25,19
"Macedonia, FYR",10,4,11,13
"Taiwan, China",11,19,3,22
Estonia,12,14,9,53
Finland,13,28,40,70
Latvia,14,22,23,42
Australia,15,7,2,63
Georgia,16,8,8,7
Germany,17,114,12,53
Ireland,18,10,38,13
Austria,19,111,49,32
Iceland,20,34,70,22
Lithuania,21,29,16,51
Canada,22,2,57,7
Malaysia,23,112,13,3
Poland,24,107,46,42
Portugal,25,32,35,70
United Arab Emirates,26,53,4,9
Czech Republic,27,81,130,53
Netherlands,28,22,87,70
France,29,27,20,32
Slovenia,30,49,80,9
Switzerland,31,71,68,106
Spain,32,85,113,32
Slovak Republic,33,68,103,87
Japan,34,89,60,53
Kazakhstan,35,45,22,3
Romania,36,62,95,53
Belarus,37,31,28,42
Armenia,38,9,81,53
Bulgaria,39,82,48,13
Russian Federation,40,26,115,53
Hungary,41,75,69,81
Belgium,42,17,44,63
Croatia,43,95,128,27
Moldova,44,44,165,42
Cyprus,45,53,125,27
Thailand,46,78,42,27
Mexico,47,93,83,53
Serbia,47,47,36,70
Mauritius,49,48,33,32
Italy,50,63,86,42
Montenegro,51,58,93,42
Israel,52,41,71,9
Colombia,53,61,34,13
Peru,54,103,51,53
Puerto Rico US,55,51,131,87
Rwanda,56,76,158,102
Chile,57,59,26,32
Albania,58,46,106,19
Luxembourg,59,67,7,123
Kosovo,60,13,129,63
Greece,61,56,58,42
Costa Rica,62,125,53,165
Bahrain,63,73,19,106
Mongolia,64,36,29,26
Azerbaijan,65,5,127,32
Oman,66,32,52,118
Jamaica,67,12,75,63
Morocco,68,40,18,87
Turkey,69,79,102,22
Panama,70,43,73,70
Botswana,71,153,50,81
Brunei Darussalam,72,84,37,102
Bhutan,73,94,97,114
South Africa,74,131,99,22
Kyrgyz Republic,75,30,32,42
Malta,76,132,82,32
Tunisia,77,103,59,118
China,78,127,177,123
San Marino,79,98,72,162
Ukraine,80,20,140,70
Bosnia and Herzegovina,81,174,170,81
Vietnam,82,121,24,87
Qatar,83,91,21,183
Vanuatu,83,126,134,106
Tonga,85,55,14,123
St Lucia,86,66,54,87
Uzbekistan,87,25,147,70
Guatemala,88,119,89,173
Samoa,89,37,96,63
Uruguay,90,60,163,123
Indonesia,91,151,116,70
Kenya,92,116,152,87
Seychelles,93,137,146,106
Saudi Arabia,94,147,15,63
El Salvador,95,129,156,158
Trinidad and Tobago,96,69,149,53
Fiji,97,159,101,106
Zambia,98,105,78,87
Philippines,99,171,85,137
Lesotho,100,117,171,106
Dominica,101,64,90,70
Kuwait,102,173,144,81
Dominican Republic,103,115,45,87
Solomon Islands,104,97,63,106
Honduras,105,148,84,132
Paraguay,106,143,56,137
Nepal,107,109,123,63
Ghana,108,110,117,87
Namibia,108,170,67,81
Sri Lanka,110,74,88,42
Swaziland,111,154,91,132
Belize,112,158,100,118
Antigua and Barbuda,113,124,107,87
Ecuador,114,166,76,118
Uganda,115,165,151,106
Argentina,116,157,173,51
Barbados,117,101,161,165
Jordan,118,106,109,165
Papua New Guinea,119,130,126,87
"Iran, Islamic Rep",120,102,27,165
"Bahamas, The",121,118,110,118
"Egypt, Arab Rep",122,39,64,114
Brazil,123,175,172,32
Guyana,124,99,148,87
St Vincent and the Grenadines,125,83,55,87
Lebanon,126,139,135,145
Nicaragua,127,128,168,145
Tajikistan,128,85,162,27
Cabo Verde,129,100,108,162
India,130,155,185,13
Cambodia,131,180,183,114
Tanzania,132,135,136,145
Malawi,133,150,65,132
St Kitts and Nevis,134,92,41,102
Maldives,135,65,62,123
Palau,136,120,98,179
Mozambique,137,134,30,132
Grenada,138,77,105,123
Lao PDR,139,160,47,165
West Bank and Gaza,140,169,157,158
Mali,141,108,142,145
Cote d?Ivoire,142,50,182,145
Marshall Islands,143,70,79,175
Pakistan,144,141,150,27
"Gambia, The",145,168,122,165
Burkina Faso,146,72,61,145
Senegal,147,90,139,137
Sierra Leone,148,87,132,87
Bolivia,149,177,152,137
Niger,150,88,179,145
"Micronesia, Fed Sts",151,167,143,185
Kiribati,152,140,119,123
Comoros,153,161,92,145
Togo,154,123,180,145
Benin,155,57,74,145
Algeria,156,142,77,173
Burundi,157,18,169,137
Suriname,158,185,112,165
Ethiopia,159,179,176,175
Mauritania,160,80,118,123
Zimbabwe,161,183,181,102
S?o Tom‚ and Pr¡ncipe,162,35,121,183
Guinea,163,133,164,145
Gabon,164,152,167,158
Iraq,165,164,104,123
Cameroon,166,149,141,137
Madagascar,167,113,184,114
Sudan,168,156,145,187
Nigeria,169,138,174,32
Myanmar,170,146,66,179
Djibouti,171,172,120,178
Guinea-Bissau,172,176,155,137
Syrian Arab Republic,173,136,187,87
Liberia,174,37,175,179
Timor-Leste,175,145,159,70
Bangladesh,176,122,138,70
"Congo, Rep",177,178,124,145
Equatorial Guinea,178,187,160,137
"Yemen, Rep",179,161,94,132
Chad,180,182,133,158
Haiti,181,188,166,188
Angola,182,144,111,81
Afghanistan,183,42,186,189
"Congo, Dem Rep",184,96,114,162
Central African Republic,185,190,154,145
South Sudan,186,181,178,179
"Venezuela, RB",187,189,137,175
Libya,188,163,187,185
Eritrea,189,186,187,165
Somalia,190,184,187,190
